"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","荒井町小松原","荒井(兵庫)",19,15000000,320000,150,97000,"台形",16.6,"","","","","その他","西","市道",4,"２低住専",60,150,"2025年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","荒井町小松原","荒井(兵庫)",12,98000000,170000,"2,000㎡以上",50000,"ほぼ長方形",34.4,"","","","","住宅","北西","市道",5.4,"１中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","荒井町小松原","荒井(兵庫)",12,7000000,"",120,"","長方形",7,95,"1997年","木造","住宅","住宅","南西","市道",4.4,"１中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","荒井町小松原","荒井(兵庫)",19,44000000,"",165,"","長方形",8.5,115,"2025年","木造","住宅","住宅","南西","市道",6,"２低住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","荒井町小松原","荒井(兵庫)",16,12000000,"",125,"","袋地等",5.8,85,"2023年","木造","住宅","住宅","南東","道路",5,"１中住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","荒井町小松原","荒井(兵庫)",19,7500000,"",125,"","長方形",9,85,"1985年","木造","住宅","住宅","北東","市道",5.3,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","荒井町小松原","荒井(兵庫)",19,11000000,"",140,"","ほぼ長方形",14,105,"1987年","木造","住宅","事務所","南東","市道",5.3,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地)","不動産取引価格情報","工業地","28216","兵庫県","高砂市","荒井町新浜","荒井(兵庫)",20,15000000,200000,240,61000,"不整形",8.1,"","","","","","南東","市道",12,"工業専用",60,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","荒井町千鳥","荒井(兵庫)",9,2500000,"",110,"","ほぼ長方形",17,110,"1977年","軽量鉄骨造","住宅","住宅","西","市道",1.8,"１中住専",60,150,"2025年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","荒井町千鳥","荒井(兵庫)",9,500000,17000,95,5200,"長方形",6,"","","","","","西","市道",1.8,"１中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","荒井町千鳥","伊保",8,15000000,"",290,"","長方形",13.5,165,"1961年","木造","住宅","住宅","北","市道",6.4,"１中住専",60,200,"2025年第3四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","荒井町蓮池","高砂(兵庫)",13,14000000,330000,145,99000,"ほぼ台形",16,"","","","","その他","南東","市道",5.2,"１中住専",60,150,"2025年第2四半期",""
